dataset_id,measure_id,measure_name
44,51,Мурманская область
44,52,Новгородская область
44,53,Псковская область
44,54,г. Санкт-Петербург
44,55,Южный федеральный округ
44,56,Республика Адыгея (Адыгея)
44,57,Республика Калмыкия
44,58,Республика Крым
44,59,Краснодарский край
44,60,Астраханская область
44,61,Волгоградская область
44,62,Ростовская область
44,63,г. Севастополь
44,64,Северо-Кавказский федеральный округ
44,65,Республика Дагестан
44,66,Республика Ингушетия
44,67,Кабардино-Балкарская Республика
44,68,Карачаево-Черкесская Республика
44,69,Республика Северная Осетия - Алания
44,70,Чеченская Республика
44,71,Ставропольский край
44,72,Приволжский федеральный округ
44,73,Республика Башкортостан
44,74,Республика Марий Эл
44,75,Республика Мордовия
44,76,Республика Татарстан (Татарстан)
44,77,Удмуртская Республика
44,78,Чувашская Республика - Чувашия
44,79,Пермский край
44,80,Кировская область
44,81,Нижегородская область
44,82,Оренбургская область
44,83,Пензенская область
44,84,Самарская область
44,85,Саратовская область
44,86,Ульяновская область
44,87,Уральский федеральный округ
44,88,Курганская область
44,89,Свердловская область
44,90,Тюменская область
44,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
44,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
44,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
44,94,Челябинская область
44,95,Сибирский федеральный округ
44,96,Республика Алтай
44,97,Республика Тыва
44,98,Республика Хакасия
44,99,Алтайский край
44,100,Красноярский край
44,101,Иркутская область
44,102,Кемеровская область - Кузбасс
44,103,Новосибирская область
44,104,Омская область
44,105,Томская область
44,106,Дальневосточный федеральный округ
44,107,Республика Бурятия
44,108,Республика Саха (Якутия)
44,109,Забайкальский край
44,110,Камчатский край
44,111,Приморский край
44,112,Хабаровский край
44,113,Амурская область
44,114,Магаданская область
44,115,Сахалинская область
44,116,Еврейская автономная область
44,117,Чукотский автономный округ
45,22,Российская Федерация
45,23,Центральный федеральный округ
45,24,Белгородская область
45,25,Брянская область
45,26,Владимирская область
45,27,Воронежская область
45,28,Ивановская область
45,29,Калужская область
45,30,Костромская область
45,31,Курская область
